PS C:\Bhavani\WIP\PnPPS\MERW Site Provisioning> Get-Command -Module *PnP*

CommandType     Name                                               Version    Source
Cmdlet          Set-PnPClientSideText                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPClientSideWebPart                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPContext                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPDefaultColumnValues                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPDefaultContentTypeToList                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPDefaultPageLayout                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPDocumentSetField                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPField                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPFileCheckedIn                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPFileCheckedOut                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPGroup                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPGroupPermissions                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPHomePage                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPIndexedProperties                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPInPlaceRecordsManagement                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPList                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPListItem                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPListItemAsRecord                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPListItemPermission                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPListPermission                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPMasterPage                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPMinimalDownloadStrategy                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPPropertyBagValue                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPProvisioningTemplateMetadata                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPRequestAccessEmails                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPSearchConfiguration                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPSite                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPSiteClosure                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPSitePolicy                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPStorageEntity                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPTaxonomyFieldValue                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPTenantSite                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPTheme                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPTraceLog                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPUnifiedGroup                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPUserProfileProperty                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPView                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPWeb                                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPWebhookSubscription                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPWebPartProperty                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPWebPermission                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPWikiPageContent                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Start-PnPWorkflowInstance                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Stop-PnPWorkflowInstance                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Submit-PnPSearchQuery                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Test-PnPListItemIsRecord                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Uninstall-PnPApp                                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Uninstall-PnPAppInstance                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Uninstall-PnPSolution                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Unpublish-PnPApp                                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Update-PnPApp                                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Update-PnPSiteClassification                       2.22.18... SharePointPnPPowerShellOnline


PS C:\Bhavani\WIP\PnPPS\MERW Site Provisioning>
